Folder ," ""Instance"" ", Best, Cplex , rpd ," ""time"" "," ""machines"" "," ""jobs"" "," ""solver"" "," ""best_cmax"" "," ""best_g"" "," ""initial_effective_org_mutation"" "," ""final_effective_org_mutation"" "," ""distance_effective_org_mutation"" "," ""average_effective_org_mutation"" "," ""cv_effective_org_mutation"" "," ""initial_effective_rea_mutation"" "," ""final_effective_rea_mutation"" "," ""distance_effective_rea_mutation"" "," ""average_effective_rea_mutation"" "," ""cv_effective_rea_mutation"" "," ""initial_no_effective_mutation"" "," ""final_no_effective_mutation"" "," ""distance_no_effective_mutation"" "," ""average_no_effective_mutation"" "," ""cv_no_effective_mutation"" "," ""initial_effective_crossover"" "," ""final_effective_crossover"" "," ""distance_effective_crossover"" "," ""average_effective_crossover"" "," ""cv_effective_crossover"" "," ""initial_min_ci"" "," ""final_min_ci"" "," ""initial_max_ci"" "," ""final_max_ci"" "," ""initial_difference_ci"" "," ""final_difference_ci"" "," ""initial_average_cmax"" "," ""final_average_cmax"" "," ""final_distance_average_cmax"" "," ""average_average_cmax"" "," ""cv_average_cmax"" "," ""initial_cv_cmax"" "," ""final_cv_cmax"" "," ""final_distance_cv_cmax"" "," ""average_cv_cmax"" "," ""cv_cv_cmax"" "," ""initial_repeated_solutions_affter_mutation"" "," ""final_repeated_solutions_affter_mutation"" "," ""distance_repeated_solutions_affter_mutation"" "," ""average_repeated_solutions_affter_mutation"" "," ""cv_repeated_solutions_affter_mutation"" "," ""initial_repeated_solutions_affter_crossover"" "," ""final_repeated_solutions_affter_crossover"" "," ""distance_repeated_solutions_affter_crossover"" "," ""average_repeated_solutions_affter_crossover"" "," ""cv_repeated_solutions_affter_crossover"" "," ""repe_njobs"" "," ""num_equal_nm"" "," ""num_down_nm"" "," ""num_up_nm"" "," ""average_min_pij"" "," ""average_max_pij"" "," ""average_distance_pij"" "," ""max_njobs"" "," ""min_njobs"" "," ""distance_maxmin_njobs"" "," ""num_ci_cmax"" "," ""average_ci"" "," ""repeated_ci_general"" "," ""min_ci"" "," ""max_ci"" "," ""difference_ci"" "," ""cv_ci"" "," ""cv_njobs"" "," ""cv_difference_best_worst_cmax"" "," ""P1"" "
" ""src/mac_corr/"" "," ""526.txt"" ",102,1275,0.036078431,1,20,500,0,8,102,44,34,10,38.972,0.134351693,4,14,10,15.11,0.3052811,33,33,0,26.918,0.181781213,1,2,1,1.476,0.861639,0.094901961,0.036078431,0.109019608,0.048627451,0.014117647,0.01254902,0.108894118,0.044266667,0.064627451,0.062728817,0.013647637,0.004989023,0.004887499,0.000101524,0.005066721,0.183071062,0,2,2,4.302,2.417243265,0,2,0,2.398,3.457638452,5,0,0,20,-0.955843,-0.937804,23,61,14,47,3,0.022745098,3,-0.02039,0.036078431,0.056470588,0.015200694,4.75899149,0.487254533,0.993566053
" ""src/1000a1100/"" "," ""517.txt"" ",102,50420,0.002161841,1,10,500,0,8,102,45,15,30,30.238,0.395063652,1,60,59,31.696,0.546635322,35,6,29,19.066,0.377495851,9,0,9,2.28,0.877807,0.032943276,0.002161841,0.045239984,0.002201507,0.012296708,3.96668E-05,0.040280048,0.002728282,0.037551765,0.012587119,0.008213702,0.00301743,0.000779858,0.002237571,0.000908458,0.294628901,0,5,5,3.042,2.231990617,0,0,0,1.25,5.208700414,9,0,0,10,-0.980167,-0.979157,50.9,50,50,0,2,0.001951607,1,0.00149,0.002161841,0.000674336,0.000209151,4,1.801989143,0.993588202
" ""src/10a100/"" "," ""1017.txt"" ",102,1804,0.010532151,34,10,1000,0,8,102,27,4,23,3.864,1.080451798,23,74,51,67.726,0.12531877,31,3,28,9.41,0.588719083,1,0,1,1,1.35794,0.21286031,0.010532151,0.277716186,0.013858093,0.064855876,0.003325942,0.243968958,0.013309313,0.230659645,0.073245648,0.04990453,0.010385706,0.003807745,0.006577961,0.003357147,0.310582071,0,7,7,9.846,0.849565733,0,0,0,1.704,4.100949045,2,0,0,10,-0.994457,-0.963581,55.7,106,92,14,2,0.008980044,5,0.00111,0.010532151,0.009423503,0.002643931,9.00777442,1.27611345,0.993597268
" ""src/mac_corr/"" "," ""555.txt"" ",102,320,0.065625,1,50,500,0,8,102,46,42,4,37.126,0.135037291,7,17,10,17.606,0.245004876,28,22,6,26.268,0.160271396,0,2,2,0.544,1.581378,0.13125,0.065625,0.159375,0.08125,0.028125,0.015625,0.1590625,0.0783125,0.08075,0.100480539,0.015510666,0.008513159,0.007318013,0.001195146,0.008748095,0.11482974,0,1,1,2.698,0.641418788,0,1,0,1.362,0.927250862,33,0,0,50,-0.828313,-0.6585,54.34,54,3,51,5,-0.0164375,13,-0.19063,0.065625,0.25625,0.075116522,6.910137481,0.512439122,0.993615548
" ""src/1000a1100/"" "," ""548.txt"" ",102,13018,0.001766784,1,40,500,0,8,102,42,27,15,32.096,0.158888481,8,38,30,25.572,0.212326917,31,16,15,23.332,0.208236652,0,0,0,0.94,1.320349,0.009218006,0.001766784,0.016054694,0.001766784,0.006836688,0,0.011938854,0.002844523,0.009094331,0.00594163,0.001972615,0.001404494,0.001029703,0.000374791,0.001234,0.143936749,0,2,2,1.496,4.40030435,0,3,0,1.572,3.024193099,38,0,0,40,-0.923168,-0.918999,54.275,13,12,1,3,-0.034298663,14,-0.07505,0.001766784,0.076816715,0.037342321,5.25594901,0.916218179,0.9936169
" ""src/100a120/"" "," ""533.txt"" ",102,1702,0.007638073,1,30,500,0,8,102,42,26,16,33.984,0.20278441,5,38,33,23.048,0.333531865,34,17,17,23.968,0.20510647,0,0,0,0.798,1.305423,0.030552291,0.007638073,0.05640423,0.011750881,0.025851939,0.004112808,0.043372503,0.01126322,0.032109283,0.020278773,0.006333091,0.004505229,0.002701563,0.001803665,0.004150983,0.173963448,0,3,3,4.838,2.057354194,0,1,0,2.754,3.124872262,28,0,0,30,-0.941246,-0.934626,11.26666667,17,16,1,8,-0.006795926,15,-0.04877,0.007638073,0.05640423,0.021123448,4.558264777,0.536215113,0.993619151
" ""src/100a120/"" "," ""1047.txt"" ",102,2505,0.041117764,4,40,1000,0,8,102,53,51,2,48.5,0.103055663,2,0,-2,3.538,0.994356408,26,30,4,28.962,0.14637819,1,9,8,5.098,0.635507,0.054690619,0.041117764,0.063872255,0.051097804,0.009181637,0.00998004,0.058666667,0.049493014,0.009173653,0.05062089,0.001828396,0.001659082,0.004322239,0.002663158,0.003140448,0.29141816,1,2,1,3.104,2.607132341,0,8,0,3.858,1.5134766,37,0,0,40,-0.96008,-0.954601,13.725,26,24,2,1,0.025888224,10,0.00998,0.041117764,0.031137725,0.007474672,11.50054347,0.4472423,0.993623754
" ""src/1a100/"" "," ""1023.txt"" ",441,253,0.011857708,95,20,1000,0,256,441,32,1,31,3.502,1.261412017,6,48,42,62.298,0.158409523,43,32,11,15.2,0.548101736,2,0,2,0.478,2.331032,0.300395257,0.011857708,0.367588933,0.031620553,0.067193676,0.019762846,0.362727273,0.019130435,0.343596838,0.092485779,0.075094301,0.019473702,0.011950428,0.007523274,0.007307265,0.463074708,0,18,18,13.84,0.310697002,1,15,0,5.314,1.37971541,8,0,0,20,-0.996047,-0.767391,57.85,56,37,19,8,0.008498024,16,-0.00395,0.011857708,0.015810277,0.003774517,9.045440841,1.072453863,0.993627013
" ""src/1a100/"" "," ""1012.txt"" ",497,905,0.003314917,137,10,1000,0,908,497,28,2,26,3.852,0.996089918,23,57,34,63.86,0.127463255,30,22,8,13.288,0.486394331,4,0,4,1.236,1.351957,0.272928177,0.003314917,0.409944751,0.00441989,0.137016575,0.001104972,0.32880663,0.009712707,0.319093923,0.077548638,0.071450888,0.016216021,0.00625462,0.009961401,0.004385573,0.36303363,0,17,17,12.008,0.532951573,0,8,0,2.708,1.245218683,3,0,0,10,-0.998895,-0.932265,60.3,109,95,14,8,0.002983425,7,0.0011,0.003314917,0.002209945,0.000705423,9.010105438,1.417978417,0.993632401
" ""src/mac_corr/"" "," ""534.txt"" ",102,429,0.060606061,1,30,500,0,8,102,44,24,20,37.21,0.141610745,6,25,19,17.07,0.25883239,31,32,1,26.72,0.167561051,0,1,1,1.088,1.057687,0.193473193,0.060606061,0.233100233,0.06993007,0.03962704,0.009324009,0.231701632,0.070606061,0.161095571,0.114607103,0.030850721,0.012456081,0.007912196,0.004543885,0.008120787,0.144452071,0,1,1,3.25,2.156909909,2,2,0,1.808,2.80236124,16,0,0,30,-0.868765,-0.797824,30.43333333,106,4,102,3,0.002175602,9,-0.12121,0.060606061,0.181818182,0.065496185,9.454765602,0.565521019,0.993641574
" ""src/1a100/"" "," ""1028.txt"" ",441,272,0.018382353,102,20,1000,0,256,441,32,0,32,3.932,1.073937283,12,62,50,61.256,0.153293161,37,19,18,15.812,0.505472902,2,0,2,0.47,2.145774,0.294117647,0.018382353,0.371323529,0.022058824,0.077205882,0.003676471,0.362830882,0.025073529,0.337757353,0.091172141,0.074799612,0.018758793,0.011128461,0.007630332,0.008360976,0.418363361,0,19,19,13.266,0.44531571,0,10,0,4.596,1.291057227,7,0,0,20,-0.996324,-0.813787,49.65,59,36,23,4,0.011580882,14,-0.00368,0.018382353,0.022058824,0.006111274,9.065980366,0.983235538,0.993661388
" ""src/1000a1100/"" "," ""1053.txt"" ",102,20039,0.009631219,4,50,1000,0,8,102,51,38,13,43.948,0.167067785,1,27,26,11.08,0.688797879,29,16,13,25.972,0.183910658,6,1,5,2.086,0.980882,0.032237138,0.009631219,0.057288288,0.009631219,0.02505115,0,0.047545287,0.012546534,0.034998752,0.020118067,0.006107496,0.005440109,0.002482133,0.002957977,0.002443478,0.145547977,0,3,3,0.81,4.294788298,0,2,0,0.986,1.347703428,49,0,0,50,-0.95009,-0.947083,60.26,20,20,0,3,0.007816757,14,0.00384,0.009631219,0.005788712,0.001548114,9,0.84364498,0.993662879
" ""src/1a100/"" "," ""1020.txt"" ",497,986,0.005070994,121,10,1000,0,908,497,26,6,20,4.424,0.890385137,21,53,32,61.146,0.15282013,34,22,12,15.43,0.514522803,5,0,5,1.392,1.249739,0.280933063,0.005070994,0.379310345,0.012170385,0.098377282,0.007099391,0.330689655,0.009503043,0.321186613,0.079511929,0.073695139,0.015132219,0.004865367,0.010266853,0.005282457,0.344019914,0,10,10,10.962,0.632550121,0,5,0,2.548,1.986185219,1,0,0,10,-0.998986,-0.935294,62.8,115,89,26,5,0.003853955,5,0.00101,0.005070994,0.004056795,0.001414427,9.032607597,1.123081289,0.993663437
